,title,author,date,tag,collection,transmit,comments,songs,play
0,纯音乐 安静 舒缓 睡眠 休息,雾中的河,2021-10-14,轻音乐-学习-安静,14167,22,10,142,201149
1,戴上耳机♫这一刻世界属于你,南子容,2021-08-01,榜单-华语,6557,217,18,2372,1054181
2,“思念变成海 在窗外进不来”,你也没听我好好说,2021-09-07,流行-伤感-网络歌曲,13095,181,106,253,1601631
3,“爱意随风起 风止意难平”,-爱在日落之前,2021-07-26,流行-翻唱-华语,99873,1067,1689,376,11424093
4,不知道算是谁的错，两个人变得话不多,想听心似烟火,2021-08-10,伤感-思念,16623,110,135,183,1897525
5,山谷里的波萨诺瓦‖Bossa Nova,秋泽健,2021-09-04,另类/独立-New Age-Bossa Nova,11920,4173,8,291,286014
6,云村超好听热门流行歌曲推荐(更新快),桥本环奈_Fairy,2021-10-10,流行-网络歌曲-榜单,16619,396,24,214,2230814
7,网易云宝藏流行歌曲推荐（更新快）,不是阿倩,2021-08-17,华语-流行-榜单,29499,545,222,207,4868048
8,网易云超好听热门歌曲推荐(持续更新),小乂怕疼,2021-08-01,流行-榜单-网络歌曲,88715,1402,112,262,15165331
9,宝藏歌曲｜开启单曲循环模式,一生向海,2021-06-21,流行-治愈-放松,10142,126,50,1121,1602472
10,网易云最好听宝藏歌曲推荐（更新快）,勒溪,2021-05-21,华语-流行-榜单,84290,635,328,243,14187970
11,【纯音乐】情绪氛围系列‖钢琴,是怡啊LJY,2021-08-15,轻音乐-清晨-感动,11304,407,54,69,1148666
12,王靖雯不胖 - 沦陷,你像风一样吹过来,2021-06-11,华语-流行,10372,75,38,28,1796536
13,『情绪状态栏』置顶汹涌的伤痛,OvbDhzBb,2021-07-19,华语-夜晚-伤感,12010,321,89,78,2247905
14,「欧美」情遇英式小酒馆的复古浪漫✨,-沐安_,2021-09-04,欧美-流行-快乐,32488,355,175,220,2275892
15,夜晚助眠 温柔治愈纯音乐,雾中的河,2021-09-14,轻音乐-学习-安静,28410,58,15,102,618347
16,百首DJ名曲 | 来场有质感的迪吧,日式收藏館,2021-07-04,华语-酒吧,6291,14,10,136,904607
17,“海的那边还是海吗”,盼你温柔,2021-08-05,华语-流行-翻唱,7927,51,151,315,1114122
18,精选 温柔翻唱Cover,陷温,2021-06-27,华语-流行-翻唱,12462,170,119,320,1869826
